Q,a95,Plate,Plate_code,Lat,Lon,CLat,CLon,RLat,RLon,Eplat,Eplong,Epang,Age
4,6.9,Madagascar,702,-70.3,63.1,,,,,,,,87
5,2.4,Madagascar,702,-76.8,68.2,,,,,,,,87
5,10.7,Madagascar,702,-66.7,43.5,,,,,,,,91
3,5.9,Madagascar,702,-74,97.1,-65.2,70.8,-50.9,59.5,14.8,137.5,-15.4,206.5
3,7.6,Madagascar,702,-76.7,110.8,-68.4,73.5,-54.3,60.4,14.8,137.5,-15.4,250.5
3,9.5,Madagascar,702,-51.3,72.6,-42.5,60.2,-27.8,54.4,14.8,137.5,-15.4,305
5,11,Madagascar,702,-6.8,1,,,3.1,-2.6,14.8,137.5,-15.4,509
4,14,Madagascar,702,-6.8,352.7,,,1.6,-10.7,14.8,137.5,-15.4,521
5,1.8,Australia,801,-78.4,103.1,-70.3,148.6,-80.2,155.3,12,48.8,-10.4,17.5
5,3.6,Australia,801,-70.5,125.6,,,-80.2,19,14.1,57,-24.4,53
5,1.8,Australia,801,-48.9,148.7,-45.1,146.8,-56.4,93.9,17.2,103.2,-36,112
5,3.7,Australia,801,-53,179.6,,,-59.2,64.5,19.5,117.8,-56.2,168
4,6,Australia,801,-46.1,175.2,,,-57.3,78.3,19.5,117.8,-56.2,180
5,2.9,Australia,801,-50.7,174.5,,,-56.6,69.9,19.5,117.8,-56.2,183
6,5.1,Australia,801,-63.8,124.5,,,-31.5,48.8,19.5,117.8,-56.2,321
6,6,Australia,801,-47.1,41,-49.3,54.7,2.2,28.5,19.5,117.8,-56.2,367
6,7.8,Australia,801,-49.1,38,,,3.6,17.7,19.5,117.8,-56.2,370
6,15.2,Australia,801,-62,23.2,,,-10,10.7,19.5,117.8,-56.2,370
5,5,Australia,801,-63,38.6,,,-10.3,18,19.5,117.8,-56.2,376
5,3,Australia,801,-26.7,33.7,-30.4,46,21.9,25.2,19.5,117.8,-56.2,465
4,13,Australia,801,-13,25,,,38.3,1.5,19.5,117.8,-56.2,493
6,7.4,Australia,801,3.1,54.1,,,52.7,45,19.5,117.8,-56.2,495
3,3.8,Australia,801,-37.5,34.4,,,15.2,14.8,19.5,117.8,-56.2,500
6,10,Australia,801,-19.3,39.1,,,33.4,19,19.5,117.8,-56.2,510
3,10.1,Australia,801,-31.4,26.9,-31.3,26.7,20.6,7.4,19.5,117.8,-56.2,510
3,10.4,Australia,801,-38.3,24.5,,,13.4,6.9,19.5,117.8,-56.2,510
3,12.3,Australia,801,-33.8,15.1,-32.8,13.9,16.4,-3.2,19.5,117.8,-56.2,515
7,6.7,Australia,801,-43.2,339.9,,,-6.2,-20.8,19.5,117.8,-56.2,522
6,14.4,Australia,801,-37.4,20.1,,,13.5,3.2,19.5,117.8,-56.2,523
6,7.3,Australia,801,-32.7,11.5,-28.7,5.7,17.4,-11.7,19.5,117.8,-56.2,525
6,4.1,Australia,801,-46.6,337.3,-37.4,331.7,-6.5,-29.4,19.5,117.8,-56.2,534
5,11.4,Australia,801,-21.3,14.9,,,27.5,-6.6,19.5,117.8,-56.2,535
6,16,Australia,801,-33,328,-20.2,326.5,1.6,-45.3,19.5,117.8,-56.2,550
5,4,East_Antarctica,802,-85.5,143.6,,,-85.5,141.7,8.3,-49.4,0.2,1
5,6.3,East_Antarctica,802,-87.3,137.3,,,-87.3,130.8,8.2,-49.4,0.3,2
5,7,East_Antarctica,802,-86.4,28.5,,,-85.7,30.7,8.2,-49.4,0.8,5
5,2.3,East_Antarctica,802,-85.5,9.3,,,-81.7,25.3,11.6,-48.2,4.2,27
5,4.4,East_Antarctica,802,-51.4,203.4,,,-55,98.6,10.5,148.8,-58.2,164
4,3.4,East_Antarctica,802,-47.8,225.5,,,-69.3,91.3,10.5,148.8,-58.2,183
3,3.3,East_Antarctica,802,-57.8,224.3,,,-61.5,75.7,10.5,148.8,-58.2,183
5,2.4,East_Antarctica,802,-45.3,208,,,-59.4,108.3,10.5,148.8,-58.2,183
5,10.2,East_Antarctica,802,-50.5,211.4,,,-60,97.1,10.5,148.8,-58.2,183
4,6.9,East_Antarctica,802,-44.1,231.5,,,-74.9,91.3,10.5,148.8,-58.2,193
5,3.8,East_Antarctica,802,-41.8,226.5,,,-73.2,105.8,10.5,148.8,-58.2,195
5,5.2,East_Antarctica,802,-2.5,23.8,,,37.8,-2.5,10.5,148.8,-58.2,471.5
5,7.6,East_Antarctica,802,-3.5,22.7,,,36.3,-2.7,10.5,148.8,-58.2,475
5,7.2,East_Antarctica,802,-11,21,,,29.6,2,10.5,148.8,-58.2,479
4,10.9,East_Antarctica,802,-9.3,26.7,,,34.5,5.7,10.5,148.8,-58.2,484
4,12,East_Antarctica,802,-7,21.4,,,32.8,-0.9,10.5,148.8,-58.2,499
4,8.1,East_Antarctica,802,-5.4,18.5,,,32,-4.6,10.5,148.8,-58.2,500
3,4.5,East_Antarctica,802,-28.5,9.5,,,9.5,6.1,10.5,148.8,-58.2,515
